NTA,NTA Code,Borough ,Borough CD,Total Population,# 65+ Years,% 65+ Years,% 65+ Below Poverty,% Hispanic/Latino,% White,% Black,%Asian,% Other
Mariner's Harbor-Arlington-Port Ivory-Graniteville SI12,,Staten Isla,501,31907.00,3169.00,9.9,21.6,37.3,21.6,28.5,10.1,0.03
Grasmere-Arrochar-Ft. Wadsworth SI14,,Staten Isla,502,16292.00,2415.00,14.8,11.5,14.6,62.8,7.2,12.7,0.03
West New Brighton-New Brighton-St. George SI22,,Staten Isla,501,32172.00,4218.00,13.1,20.1,33,24.3,31.4,5.6,0.06
Todt Hill-Emerson Hill-Heartland Village-Lighthouse HSI24,,Staten Isla,502,32348.00,6313.00,19.5,8.8,10.2,71.2,2.3,14.6,0.02
Oakwood-Oakwood Beach SI25,,Staten Isla,503,20509.00,4136.00,20.2,11.2,14.4,76.7,2,4.2,0.03
Port Richmond SI28,,Staten Isla,501,19545.00,2228.00,11.4,10.1,38.3,37,16.5,6.7,0.02
Rossville-Woodrow SI32,,Staten Isla,503,22197.00,3961.00,17.8,12.2,8.5,86.1,0.1,3.6,0.02
New Brighton-Silver Lake SI35,,Staten Isla,501,17105.00,2902.00,17,9,23.8,60.8,7.3,5.8,0.02
Old Town-Dongan Hills-South Beach SI36,,Staten Isla,502,25453.00,3984.00,15.7,15.1,15.5,67,4.9,10,0.03
Stapleton-Rosebank SI37,,Staten Isla,501,25347.00,3520.00,13.9,18.3,28.4,37.3,20.2,11,0.03
New Dorp-Midland Beach SI45,,Staten Isla,502,20933.00,3205.00,15.3,7.4,15.1,73.9,3.5,6.7,0.01
Arden Heights,SI48,Staten Isla,503,26982.00,3990.00,14.8,9.7,13.4,77.5,1.6,6.1,0.01
Great Kills,SI54,Staten Isla,503,42306.00,7499.00,17.7,10.7,9.4,83.5,0.9,5.2,0.01
